park_name,lat,lon,is_poppy,x,y
The Forest of Nisene Marks State Park,37.02961079999999,-121.9041264,True,-0.03254913301181762,0.696635232981224
D. L. Bliss State Park,38.98561785,-120.10136770000001,True,-0.0010850580778451956,0.7399671192897501
Morro Bay State Park,35.34276815,-120.82662240000002,True,-0.01374314050840905,0.6601551646451098
Tomales Bay State Park,38.1259041,-122.8940959,True,-0.049827360281139634,0.720778989098726
Del Norte Coast Redwoods State Park,41.676868299999995,-124.0608625,True,-0.07019127905343935,0.8015974116217329
Mount Diablo State Park,37.8721326,-121.94142269999999,True,-0.033200076245629075,0.715158384359541
Topanga State Park,34.1456809,-118.57167220000001,True,0.02561316495009577,0.6347276996468278
Donner Memorial State Park,39.3227721,-120.2420152,True,-0.0035398200375436725,0.747555584272828
Mount San Jacinto State Park,33.79282855,-116.66767659999998,True,0.05884415711358124,0.6273019487285003
Ed Z'Berg Sugar Pine Point State Park,39.0339251,-120.1233305,True,-0.001468381250801909,0.7410521626811434
Mount Tamalpais State Park,37.896952399999996,-122.61367759999999,True,-0.04493313766329428,0.7157072438560171
Van Damme State Park,39.27212555,-123.79163249999999,True,-0.06549232910829489,0.7464133369515886
El Capitan State Beach,34.48736925,-120.01254499999999,True,0.00046519048766636945,0.6419481207775151
Natural Bridges State Beach,36.954417,-122.05952830000001,True,-0.03526140783067286,0.6949921282663976
Wilder Ranch State Park,36.99515170000001,-122.0857759,True,-0.03571951487141916,0.6958820449135862
Emerald Bay State Park,38.9543522,-120.09407409999999,True,-0.0009577607435212932,0.7392652469743158
New Brighton State Beach,36.9793072,-121.92649640000002,True,-0.032939563165489155,0.6955358390919784
Will Rogers State Historic Park,34.0546445,-118.5131625,True,0.026634351859449925,0.6328088922509443
Emma Wood State Beach,34.286094899999995,-119.3268781,True,0.012432335464608847,0.6376913163568171
Olompali State Historic Park,38.15183405,-122.57765359999999,True,-0.044304400253555885,0.7213543910846578
William B. Ide Adobe State Historic Park,40.1967911,-122.22521509999999,True,-0.03815318801776576,0.7673997548713318
Pacheco State Park,37.04477925,-121.1924193,True,-0.020127500806997115,0.6969668849301359
Bolsa Chica State Beach,33.6950185,-118.04756189999999,False,0.03476061532871132,0.6252489730961108
Leo Carrillo State Park,34.0610328,-118.9328051,False,0.019310206807820564,0.6329434734800259
San Clemente State Beach,33.40386765,-117.60166709999999,False,0.04254294770623302,0.6191516668723183
Brannan Island State Recreation Area,38.1146911,-121.69273600000001,False,-0.028859674524710055,0.7205302288411184
Leucadia State Beach,33.069512599999996,-117.30753179999999,False,0.04767657713757418,0.6121747208188197
San Elijo State Beach,33.0212438,-117.28416059999999,False,0.04808448152771627,0.6111696976919521
Candlestick Point State Recreation Area,37.709653700000004,-122.3802486,False,-0.040859033043656665,0.711569918460636
Limekiln State Park,36.0227366,-121.52777140000002,False,-0.025980499105474786,0.6747660554023863
San Onofre State Beach,33.34913125,-117.52488819999999,False,0.04388299230729238,0.6180076593354586
Cardiff State Beach,33.013884999999995,-117.28034199999999,False,0.04815112867053297,0.6110165256669416
Malibu Creek State Park,34.0755164,-118.691446,False,0.023522717782470753,0.6332486345956473
Santa Monica State Beach,34.01731395,-118.5058769,False,0.026761509567433277,0.6320226585916168
Carlsbad State Beach,33.158093300000004,-117.3505966,False,0.04692495458586114,0.6140205289665067
Malibu Lagoon State Beach,34.03687915,-118.6827376,False,0.02367470803505149,0.6324346859526095
Silver Strand State Beach,32.636022,-117.1413846,False,0.05057639282054366,0.6031684532768147
Castaic Lake State Recreation Area,34.53136015,-118.6072926,False,0.024991471689218645,0.6428798620090226
Mandalay State Beach,34.2012791,-119.24661119999999,False,0.0138332571499781,0.6359005801509213
South Carlsbad State Beach,33.1269055,-117.32914029999999,False,0.047299437666157,0.613370438091705
Cayucos State Beach,35.446945299999996,-120.9030742,False,-0.015077476137485021,0.662385635508343
Marconi Conference Center State Historic Park,38.1512302,-122.8711591,False,-0.049427037601268264,0.7213409889454965
Stone Lake CA,38.344381899999995,-121.4982112,False,-0.02546457628792641,0.725633567916399
Corona del Mar State Beach,33.5935341,-117.87605659999998,False,0.03775394749833207,0.6231213436589158
Moonlight State Beach,33.0478913,-117.29809669999999,False,0.04784125069782918,0.6117244673649811
Torrey Pines State Beach,32.91752465,-117.2590273,False,0.04852314036460765,0.6090119810669582
Crystal Cove State Park,33.5809224,-117.8014755,False,0.03905563325309102,0.6228571132726364
Pacifica State Beach,37.60054005,-122.5001773,False,-0.04295218372629323,0.7091644783288477
Torrey Pines State Natural Reserve,32.9160702,-117.2481883,False,0.04871231660223139,0.6089817414800895
Dockweiler State Beach,33.93931935,-118.44047759999998,False,0.027902942680933226,0.6303810979219243
Turlock Lake State Recreation Area,37.6244162,-120.58730759999999,False,-0.009566309299656786,0.7096905325973916
Doheny State Beach,33.4601551,-117.67681979999999,False,0.0412312856494694,0.6203288437546006
Point Dume State Beach,34.0078097,-118.8144883,False,0.02137522452824423,0.6318225410097801
Twin Lakes State Beach,36.9629154,-122.0060122,False,-0.03432737568284615,0.6951777505047854
El Presidio de Santa Barbara State Historic Park,34.43838975,-119.7158575,False,0.005643364212176876,0.6409112974007632
Point Mugu State Park,34.1069238,-119.0210254,False,0.017770472105723353,0.633910549760732
Watts Towers of Simon Rodia State Historic Park,33.93879735,-118.24120990000002,False,0.03138082013880891,0.6303701164023808
Huntington State Beach,33.6386631,-117.97433390000002,False,0.03603868503336124,0.6240671675060204
Robert H. Meyer Memorial State Beach,34.0396759,-118.88749270000001,False,0.020101057379800998,0.6324935910180657
Will Rogers State Beach,34.03967565,-118.56066570000002,False,0.025805264614216412,0.6324935857524863
